0, 1, 5
0, 2, 3
0, 3, 7
0, 4, 2
0, 5, 4
1, 6, 6
1, 7, 8
1, 8, 9
1, 9, 3
2, 10, 5
2, 11, 7
2, 12, 2
2, 13, 4
3, 14, 6
3, 15, 1
3, 16, 9
3, 17, 3
4, 18, 8
4, 19, 5
4, 20, 4
4, 21, 6
5, 22, 1
5, 23, 9
5, 24, 3
6, 7, 2
6, 8, 4
6, 9, 6
7, 10, 8
7, 11, 3
7, 12, 7
8, 13, 4
8, 14, 5
8, 15, 3
9, 16, 6
9, 17, 2
9, 18, 9
10, 19, 5
10, 20, 2
10, 21, 8
11, 22, 3
11, 23, 2
11, 24, 7
12, 13, 4
12, 14, 6
12, 15, 4
13, 16, 1
13, 17, 9
13, 18, 3
14, 19, 8
14, 20, 5
14, 21, 4
15, 22, 6
15, 23, 1
15, 24, 8
16, 17, 3
16, 18, 2
16, 19, 7
17, 20, 4
17, 21, 6
17, 22, 1
18, 23, 9
18, 24, 3
19, 20, 2
19, 21, 5
19, 22, 4
20, 23, 6
20, 24, 1
21, 22, 9
21, 23, 3
21, 24, 7
22, 23, 4
22, 24, 6
23, 24, 1
