0, 1, 19
0, 2, 5
0, 3, 31
0, 4, 26
0, 5, 12
1, 6, 18
1, 7, 20
1, 8, 11
2, 9, 23
2, 10, 13
3, 11, 15
3, 12, 7
4, 13, 33
4, 14, 25
5, 15, 4
5, 16, 16
6, 17, 21
6, 18, 29
7, 19, 36
8, 20, 2
8, 21, 28
9, 22, 3
9, 23, 6
10, 24, 9
11, 25, 14
11, 26, 32
12, 27, 35
13, 28, 22
13, 29, 10
14, 30, 1
15, 31, 24
16, 32, 8
17, 33, 27
17, 34, 17
18, 35, 34
18, 36, 30
19, 37, 36
20, 38, 19
20, 39, 21
21, 40, 26
22, 41, 15
22, 42, 12
23, 43, 3
24, 44, 30
24, 45, 11
25, 46, 2
25, 47, 8
26, 48, 7
26, 49, 1
27, 50, 20
28, 51, 31
28, 52, 13
29, 53, 10
29, 54, 16
30, 55, 36
31, 56, 23
31, 57, 4
32, 58, 9
32, 59, 27
33, 60, 25
33, 61, 22
34, 62, 5
34, 63, 33
35, 64, 14
