0, 1, 12
1, 2, 23
2, 3, 7
3, 4, 18
4, 5, 3
5, 6, 25
6, 7, 4
7, 8, 11
8, 9, 14
9, 10, 21
10, 11, 9
11, 12, 16
12, 13, 6
13, 14, 22
14, 15, 19
15, 16, 17
16, 17, 2
17, 18, 10
18, 19, 5
19, 20, 20
20, 21, 13
21, 22, 15
22, 23, 1
23, 24, 24
24, 25, 8
25, 26, 25
26, 27, 3
27, 28, 18
28, 29, 9
29, 30, 6
30, 31, 11
31, 32, 4
32, 33, 21
33, 34, 17
34, 35, 14
35, 36, 7
36, 37, 16
37, 38, 22
38, 39, 19
39, 40, 2
40, 41, 5
41, 42, 10
42, 43, 13
43, 44, 8
44, 45, 23
45, 46, 1
46, 47, 24
47, 48, 15
48, 49, 12
49, 50, 20
50, 51, 25
51, 52, 9
52, 53, 6
53, 54, 18
54, 55, 3
55, 56, 21
56, 57, 17
57, 58, 22
58, 59, 19
59, 60, 13
60,  0, 6
